replacer_num,replacer_dept,replacee_num,replacee_dept
153,PHYS,1,SCI
154,PHYS,2,SCI
115,CHEM,1,SCI
116,CHEM,2,SCI
225,BIOL,1,SCI
226,BIOL,2,SCI
103,GEOS,1,SCI
104,GEOS,1,SCI
105,GEOS,1,SCI
201,GEOS,2,SCI
115,CHEM,3,MSCI
116,CHEM,3,MSCI
320,CHEM,3,MSCI
331,CHEM,3,MSCI
332,CHEM,3,MSCI
334,CHEM,3,MSCI
336,CHEM,3,MSCI
341,CHEM,3,MSCI
342,CHEM,3,MSCI
344,CHEM,3,MSCI
405,CHEM,3,MSCI
420,CHEM,3,MSCI
201,BIOL,3,MSCI
205,BIOL,3,MSCI
225,BIOL,3,MSCI
226,BIOL,3,MSCI
330,BIOL,3,MSCI
354,BIOL,3,MSCI
358,BIOL,3,MSCI
367,BIOL,3,MSCI
102,GEOS,3,MSCI
103,GEOS,3,MSCI
104,GEOS,3,MSCI
105,GEOS,3,MSCI
107,GEOS,3,MSCI
109,GEOS,3,MSCI
201,GEOS,3,MSCI
325,GEOS,3,MSCI
332,GEOS,3,MSCI
335,GEOS,3,MSCI
110,PHYS,3,MSCI
125,PHYS,3,MSCI
135,PHYS,3,MSCI
153,PHYS,3,MSCI
154,PHYS,3,MSCI
163,PHYS,3,MSCI
164,PHYS,3,MSCI
223,PHYS,3,MSCI
240,PHYS,3,MSCI
331,PHYS,3,MSCI
333,PHYS,3,MSCI
356,PHYS,3,MSCI
321,MATH,3,MSCI
331,MATH,3,MSCI
351,MATH,3,MSCI
433,MATH,3,MSCI
455,MATH,3,MSCI
480,MATH,3,MSCI
331,CSCI,3,MSCI
131,CSCI,3,MSCI
330,CSCI,300,CSCI
340,CSCI,300,CSCI
386,CSCI,300,CSCI
412,CSCI,300,CSCI
487,CSCI,300,CSCI
330,CSCI,300b,CSCI
340,CSCI,300b,CSCI
386,CSCI,300b,CSCI
412,CSCI,300b,CSCI
487,CSCI,300b,CSCI
